feature,adjust,hold,lift,other,place,press,rotate,Mean_Importance
lmk_3_speed_mean_5,0.0019621348253153793,0.0009139013954283674,0.0015810671412946958,0.007662920156542954,0.0003181749016361291,0.014984885660352413,0.0008011856734693987,0.004032038536291334
x_16_std_5,0.0007425518720233134,0.008134420732698546,0.0007074573381988241,0.0027757267404176895,0.012288127740014193,0.00011357404828472238,0.003134810916383048,0.003985238484002905
y_18_mean_5,0.001111110209581085,0.0011126738193871209,0.019191334228100165,0.0007452791648692003,0.00039896316765145317,0.0009329684243066458,0.004143413337322099,0.00394796319303111
lmk_4_speed_mean_5,0.015428346130785524,0.007225462573931195,0.00040289283743202825,0.0028342507425260853,0.000442990453570837,7.890799786856199e-05,0.0011222226076900445,0.003933581906257754
z_6_mean_5,0.0011625246331420642,0.01663568996431114,0.007596593200432798,0.0001837410365348377,0.0005338153018203002,0.0005534944592682665,0.0008265050114991054,0.003927480515286931
y_4_std_5,0.0019274064112611163,0.005997349252900548,0.00012224060511082153,0.0020635597931863065,0.00032999029989224483,0.015123719985066217,0.001569633443725728,0.0038762713987347116
lmk_9_speed,0.00011306061706536047,0.0014248260899217408,0.0006671075646668234,0.00011651873515640328,0.00017051456382428866,0.022291768580188265,0.0022513830390776426,0.003862168455700075
x_19_mean_5,0.0025324178525676926,0.001062536651900252,0.01603702905956983,0.0016994893997165305,0.001031531487695638,0.0007125597118263637,0.0037265975493993827,0.0038288802446679554
x_15_std_5,0.0014191098406291752,0.0008411595792660976,0.0022741041947166155,0.002970165715493778,0.01676292343368712,0.00043420390915602035,0.0020062543147900754,0.0038154172839626973
x_6_mean_5,0.00016834081297664423,0.00076217716271096,0.011598051685464659,0.00045470835219828536,0.0014175249954927432,0.004848671394609141,0.006843923879257593,0.003727628326101432
lmk_4_speed,0.0032456713765427097,0.0025338114785530856,0.0002481080005533206,0.002320035395104634,0.0006931676172843873,0.014648154087076952,0.0021298405902214373,0.0036883983636195037
y_19_std_5,0.0004682863159110982,0.002025269051339326,0.008319159266251075,0.0008847295448021514,0.000758549407128776,0.00766950263734064,0.005684934362511841,0.0036872043693264153
lmk_13_speed,0.00021141239701274905,0.0007288551084831442,0.0001517996109321487,0.0002021844818768749,0.000222795494917423,0.022131338510644274,0.0018433241769051079,0.003641672825824532
x_17_mean_5,0.0008881985107982299,0.0018858106160107699,0.007509914681640481,0.0054378922743093475,0.0005424168160951145,0.0012866166925243295,0.0076161259730690226,0.0035952822234924706
x_3,0.0002387142957014036,0.0003183912129198137,0.018581922474852085,0.00349446039224266,0.0007668523910592734,0.0003704473043143522,0.0012011653422023382,0.003567421916184561
lmk_17_speed_mean_5,0.010504779730547817,0.007510450536522336,0.0005273856015563489,0.0010397717165692886,0.00029794203321261906,0.0007426983295269915,0.003962041010799564,0.0035121527083907095
z_16_mean_5,0.008530037253560416,0.003933839716312406,8.378919613351255e-05,0.0019944853929347926,0.00831650479636016,7.481514434281526e-05,0.0015876559523346906,0.003503018207425542
x_9_mean_5,0.0004983330547338044,0.0010324636679228138,0.0004616745088725435,0.0008270192417135468,0.0014627406187322802,0.014809747779778615,0.004293812745903091,0.003340827373950956
y_17_mean_5,0.0002969988333729726,0.0004047768297815832,0.01627192410784577,0.0007051325790447617,0.0008386901927709887,0.0009765383344876818,0.003271228322114656,0.003252184171345488
